txn_id,date,description,reference,amount
B001,2026-09-03,RTGS DR JSW COILS DEPOT PO-5123,RTGS880223,-116665.83
B002,2026-09-03,RTGS DR TATA STEEL SUPPLY PO-5134,RTGS880234,-176257.36
B003,2026-09-04,RTGS DR ZENITH LUBRICANTS PO-5126,RTGS880226,-160414.04
B004,2026-09-05,RTGS DR MAHANADI PACKAGING PO-5131,RTGS880231,-172094.96
B005,2026-09-05,NEFT CR SHREE GANESH ENGG INV-2402,NEFT700102,41549.91
B006,2026-09-06,RTGS DR MAHANADI PACKAGING PO-5136,RTGS880236,-81933.45
B007,2026-09-08,RTGS DR JSW COILS DEPOT PO-5111,RTGS880211,-157302.22
B008,2026-09-08,NEFT CR ORION INFRA PVT LTD INV-2415,NEFT700115,247590.37
B009,2026-09-08,NEFT CR KONARK PROJECTS INV-2401,NEFT700101,225201.3
B010,2026-09-09,RTGS DR ZENITH LUBRICANTS PO-5137,RTGS880237,-44195.68
B011,2026-09-09,RTGS DR JSW COILS DEPOT PO-5105,RTGS880205,-128683.7
B012,2026-09-10,RTGS DR MAHANADI PACKAGING PO-5103,RTGS880203,-43802.4
B013,2026-09-11,RTGS DR BLUEDART LOGISTICS PO-5119,RTGS880219,-160396.14
B014,2026-09-11,CHQ DEP 118834 DECCAN FABRICATORS,CHQ118834,88000.0
B015,2026-09-11,NEFT CR ORION INFRA PVT LTD INV-2406,NEFT700106,43508.36
B016,2026-09-11,RTGS DR MAHANADI PACKAGING PO-5129,RTGS880229,-165146.73
B017,2026-09-11,RTGS DR ZENITH LUBRICANTS PO-5138,RTGS880238,-73481.49
B018,2026-09-12,NEFT CR BHARAT PIPES LTD INV-2433,NEFT700133,221942.21
B019,2026-09-12,RTGS DR ZENITH LUBRICANTS PO-5113,RTGS880213,-169231.28
B020,2026-09-13,NEFT CR ORION INFRA PVT LTD INV-2412,NEFT700112,57410.44
B021,2026-09-13,NEFT CR SUNRISE BOILERS INV-2418,NEFT700118,221564.55
B022,2026-09-13,NEFT CR ORION INFRA PVT LTD INV-2407,NEFT700107,158856.99
B023,2026-09-13,UPI/ORION INFRA/SETTLEMENT,,64250.0
B024,2026-09-13,RTGS DR ZENITH LUBRICANTS PO-5109,RTGS880209,-115148.36
B025,2026-09-14,NEFT CR KONARK PROJECTS INV-2428,NEFT700128,221446.18
B026,2026-09-14,CHQ RETURN CHARGES 118834,RTNCHG118834,-354.0
B027,2026-09-14,CHQ RETURN 118834 FUNDS INSUFFICIENT,CHQ118834R,-88000.0
B028,2026-09-14,NEFT CR SHREE GANESH ENGG INV-2410,NEFT700110,30539.61
B029,2026-09-16,RTGS DR ZENITH LUBRICANTS PO-5188,RTGS880288,-45360.0
B030,2026-09-17,RTGS DR BLUEDART LOGISTICS PO-5132,RTGS880232,-13311.05
B031,2026-09-18,NEFT CR BHARAT PIPES LTD INV-2439,NEFT700139,34725.96
B032,2026-09-18,NEFT CR DECCAN FABRICATORS INV-2435,NEFT700135,237775.2
B033,2026-09-20,ACH D- ODISHA PWR DIST,EB-SEP,-38410.0
B034,2026-09-20,NEFT CR SUNRISE BOILERS INV-2421,NEFT700121,118539.78
B035,2026-09-20,NEFT CR BHARAT PIPES LTD INV-2422,NEFT700122,137191.05
B036,2026-09-21,NEFT CR ORION INFRA PVT LTD INV-2400,NEFT700100,76325.13
B037,2026-09-21,RTGS DR MAHANADI PACKAGING PO-5125,RTGS880225,-156332.55
B038,2026-09-21,RTGS DR JSW COILS DEPOT PO-5114,RTGS880214,-100803.78
B039,2026-09-21,RTGS DR MAHANADI PACKAGING PO-5130,RTGS880230,-113524.94
B040,2026-09-22,NEFT CR SUNRISE BOILERS INV-2455,NEFT700455,73900.0
B041,2026-09-22,NEFT CR BHARAT PIPES LTD INV-2420,NEFT700120,76724.33
B042,2026-09-24,RTGS DR ZENITH LUBRICANTS PO-5116,RTGS880216,-65128.06
B043,2026-09-24,RTGS DR JSW COILS DEPOT PO-5104,RTGS880204,-86365.54
B044,2026-09-25,RTGS DR ODISHA POWER DISTR PO-5127,RTGS880227,-28963.87
B045,2026-09-25,NEFT CR SHREE GANESH ENGG INV-2417,NEFT700117,205160.53
B046,2026-09-25,IMPS DR 9821XXXX12 MISC,IMPS55120,-12000.0
B047,2026-09-26,RTGS DR MAHANADI PACKAGING PO-5108,RTGS880208,-31220.45
B048,2026-09-28,BULK SAL UPLOAD SEP26,SAL-0926,-412600.0
B049,2026-09-29,NEFT CR SHREE GANESH ENGG INV-2424,NEFT700124,108496.48
B050,2026-09-30,SERVICE CHG SEP26 INCL GST,CHG0926,-590.0
B051,2026-09-30,INT CREDIT Q2 SB/CA,INT0926,1845.0
